datetime,open,high,low,close,volume
2024-04-23 09:42:00,48025.6,48029.2,48017.15,48018.0,0
2024-04-23 09:43:00,48018.1,48034.3,48010.6,48010.6,0
2024-04-23 09:44:00,48015.05,48028.95,48005.95,48010.35,0
2024-04-23 09:45:00,48012.15,48014.7,47992.05,47996.85,0
2024-04-23 09:46:00,48000.25,48000.25,47954.6,47966.25,0
2024-04-23 09:47:00,47967.0,47972.95,47946.35,47961.15,0
2024-04-23 09:48:00,47961.2,47961.2,47942.75,47944.7,0
2024-04-23 09:49:00,47945.45,47963.85,47943.8,47960.25,0
2024-04-23 09:50:00,47961.8,47973.75,47942.8,47965.5,0
2024-04-23 09:51:00,47968.7,47974.4,47958.5,47966.85,0
2024-04-23 09:52:00,47966.3,47985.8,47963.35,47982.75,0
2024-04-23 09:53:00,47983.15,47995.85,47978.4,47981.65,0
2024-04-23 09:54:00,47976.7,47991.95,47958.55,47958.55,0
2024-04-23 09:55:00,47958.55,47969.8,47949.7,47969.8,0
2024-04-23 09:56:00,47967.0,47983.95,47959.9,47979.45,0
2024-04-23 09:57:00,47981.8,47991.3,47976.45,47983.45,0
2024-04-23 09:58:00,47985.25,48015.1,47971.7,48015.1,0
2024-04-23 09:59:00,48013.0,48013.5,48000.75,48008.85,0
2024-04-23 10:00:00,48009.9,48033.9,48007.4,48033.9,0
2024-04-23 10:01:00,48033.1,48048.6,48032.85,48043.2,0
2024-04-23 10:02:00,48043.1,48051.5,48042.6,48044.7,0
2024-04-23 10:03:00,48040.3,48056.85,48036.2,48054.35,0
2024-04-23 10:04:00,48054.6,48058.0,48043.85,48049.4,0
2024-04-23 10:05:00,48050.9,48059.5,48036.15,48051.5,0
2024-04-23 10:06:00,48055.6,48056.8,48046.0,48046.1,0
2024-04-23 10:07:00,48047.5,48065.95,48044.9,48055.75,0
2024-04-23 10:08:00,48055.9,48065.65,48053.05,48054.85,0
2024-04-23 10:09:00,48054.8,48072.75,48054.8,48057.5,0
2024-04-23 10:10:00,48057.6,48064.5,48052.75,48059.3,0
2024-04-23 10:11:00,48060.5,48060.5,48034.6,48038.05,0
2024-04-23 10:12:00,48038.8,48044.2,48030.8,48031.5,0
2024-04-23 10:13:00,48034.4,48061.0,48031.45,48055.85,0
2024-04-23 10:14:00,48058.35,48078.85,48051.75,48069.6,0
2024-04-23 10:15:00,48069.4,48077.1,48064.3,48067.75,0
2024-04-23 10:16:00,48067.75,48068.15,48049.3,48050.95,0
2024-04-23 10:17:00,48052.4,48084.5,48051.55,48065.85,0
2024-04-23 10:18:00,48066.25,48071.3,48054.15,48057.45,0
2024-04-23 10:19:00,48059.75,48061.95,48051.45,48059.6,0
